instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:25:39.217473
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Jun-08 15:00:00 (43.6%)
2097-Jun-09 02:00:00 (43.7%)
2097-Jun-09 13:00:00 (43.9%)
2097-Jun-10 00:00:00 (44%)
2097-Jun-10 11:00:00 (44.1%)
2097-Jun-10 22:00:00 (44.2%)
2097-Jun-11 09:00:00 (44.4%)
2097-Jun-11 20:00:00 (44.5%)
2097-Jun-12 07:00:00 (44.6%)
2097-Jun-12 18:00:00 (44.7%)
2097-Jun-13 05:00:00 (44.9%)
2097-Jun-13 16:00:00 (45%)
2097-Jun-14 03:00:00 (45.1%)
2097-Jun-14 14:00:00 (45.2%)
2097-Jun-15 01:00:00 (45.4%)
2097-Jun-15 12:00:00 (45.5%)
2097-Jun-15 23:00:00 (45.6%)
2097-Jun-16 10:00:00 (45.7%)
2097-Jun-16 22:00:00 (45.9%)
2097-Jun-17 09:00:00 (46%)
2097-Jun-17 20:00:00 (46.1%)
2097-Jun-18 07:00:00 (46.3%)
2097-Jun-18 18:00:00 (46.4%)
2097-Jun-19 05:00:00 (46.5%)
2097-Jun-19 16:00:00 (46.6%)
2097-Jun-20 03:00:00 (46.8%)
2097-Jun-20 14:00:00 (46.9%)
2097-Jun-21 01:00:00 (47%)
2097-Jun-21 12:00:00 (47.1%)
2097-Jun-21 23:00:00 (47.3%)
2097-Jun-22 10:00:00 (47.4%)
2097-Jun-22 21:00:00 (47.5%)
2097-Jun-23 08:00:00 (47.6%)
2097-Jun-23 19:00:00 (47.8%)
2097-Jun-24 06:00:00 (47.9%)
2097-Jun-24 17:00:00 (48%)
2097-Jun-25 04:00:00 (48.1%)
2097-Jun-25 15:00:00 (48.3%)
2097-Jun-26 02:00:00 (48.4%)
2097-Jun-26 13:00:00 (48.5%)
2097-Jun-27 00:00:00 (48.6%)
2097-Jun-27 11:00:00 (48.8%)
2097-Jun-27 22:00:00 (48.9%)
